Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
0,41,1,2010,Baker County,OR,10.3,41,1,OR,Baker,3148,20,37868,25,12,13,50,16116,8140,7976,7782,7629,43,18,88,99,35,46,4,5,188,179,263,264,1,0,1,0,0,19,6,11,2,0,2010-OR-Baker,20.5
1,41,3,2010,Benton County,OR,7.2,41,3,OR,Benton,15413,19.1,49156,75,62,13,50,85577,42852,42725,38177,38200,491,363,381,381,2292,2249,121,102,1390,1430,2839,2648,26,0,5,1,20,184,51,121,12,3,2010-OR-Benton,47.9
2,41,5,2010,Clackamas County,OR,10.1,41,5,OR,Clackamas,38834,10.4,57960,450,223,227,50,376799,185313,191486,169256,174495,1895,1522,2019,1955,6416,7688,522,470,5205,5356,15149,14123,225,4,35,107,79,6102,1097,4582,423,18,2010-OR-Clackamas,31.4
3,41,7,2010,Clatsop County,OR,10.1,41,7,OR,Clatsop,5413,14.8,44234,55,27,28,50,37097,18438,18659,17330,17547,123,96,232,207,195,296,49,42,509,471,1503,1361,6,0,2,0,4,182,60,110,12,3,2010-OR-Clatsop,21.6
4,41,9,2010,Columbia County,OR,13,41,9,OR,Columbia,6554,13.4,50707,41,35,6,50,49353,24717,24636,23224,23088,132,87,342,341,164,307,53,54,802,759,1046,954,,,,,,,,,,,2010-OR-Columbia,16.8
5,41,11,2010,Coos County,OR,12.8,41,11,OR,Coos,11862,19.1,36216,85,25,60,50,63010,31068,31942,28496,29199,168,108,838,882,255,414,69,59,1242,1280,1746,1654,77,3,7,3,64,488,160,290,38,6,2010-OR-Coos,18.3
6,41,13,2010,Crook County,OR,16.1,41,13,OR,Crook,3610,17.4,39867,28,15,13,50,20882,10357,10525,9926,10075,21,20,162,167,43,63,6,5,199,195,777,679,22,0,3,2,17,120,55,63,2,2,2010-OR-Crook,15.4
7,41,15,2010,Curry County,OR,12.7,41,15,OR,Curry,3550,16,36994,37,14,23,50,22378,11031,11347,10342,10595,48,22,217,227,45,118,11,10,368,375,634,583,22,0,0,0,22,251,72,161,18,1,2010-OR-Curry,18.5
8,41,17,2010,Deschutes County,OR,13.9,41,17,OR,Deschutes,23247,14.8,46631,210,82,128,50,157744,77958,79786,74234,75787,363,250,891,889,607,919,120,111,1743,1830,5851,5855,156,2,15,7,132,983,215,705,63,12,2010-OR-Deschutes,29.1
9,41,19,2010,Douglas County,OR,14.1,41,19,OR,Douglas,20814,19.5,36991,144,112,32,50,107637,53131,54506,49803,51047,194,145,1039,1008,460,625,61,70,1574,1611,2570,2529,42,2,13,8,19,823,242,507,74,19,2010-OR-Douglas,15.5
10,41,21,2010,Gilliam County,OR,9.1,41,21,OR,Gilliam,211,11.4,45827,6,5,1,50,1880,964,916,928,885,2,1,15,5,2,3,5,8,12,14,51,42,0,0,0,0,0,16,2,13,1,0,2010-OR-Gilliam,18.8
11,41,23,2010,Grant County,OR,13.8,41,23,OR,Grant,1211,16.5,36792,16,5,11,50,7465,3715,3750,3565,3589,10,5,52,40,11,13,2,6,75,97,100,110,0,0,0,0,0,32,4,24,4,1,2010-OR-Grant,17.2
12,41,25,2010,Harney County,OR,14.3,41,25,OR,Harney,1389,19.1,36441,17,11,6,50,7403,3765,3638,3519,3380,12,9,117,125,10,24,0,1,107,99,146,153,3,0,0,0,3,22,12,9,1,1,2010-OR-Harney,16.2
13,41,27,2010,Hood River County,OR,8.3,41,27,OR,Hood River,2888,13,49490,33,16,17,50,22447,11233,11214,10618,10567,74,53,116,103,157,171,26,24,242,296,3558,3080,,,,,,,,,,,2010-OR-Hood River,25.9
14,41,29,2010,Jackson County,OR,12.6,41,29,OR,Jackson,31629,15.7,40603,163,117,46,50,203357,99038,104319,92166,97395,970,535,1520,1435,991,1516,337,328,3054,3110,11391,10507,177,0,12,6,159,989,228,686,75,7,2010-OR-Jackson,24.4
15,41,31,2010,Jefferson County,OR,13.8,41,31,OR,Jefferson,4398,21.1,40888,46,14,32,50,21662,11237,10425,8727,8064,132,54,2005,1908,53,53,20,20,300,326,2154,2027,4,0,2,1,1,242,68,145,29,1,2010-OR-Jefferson,15.9
16,41,33,2010,Josephine County,OR,14.1,41,33,OR,Josephine,15356,18.8,36102,93,34,59,50,82880,40316,42564,37917,40029,214,159,626,610,281,445,77,78,1201,1243,2648,2646,,,,,,,,,,,2010-OR-Josephine,16.5
17,41,35,2010,Klamath County,OR,13,41,35,OR,Klamath,11384,17.4,37370,67,34,33,50,66323,33025,33298,29743,30009,266,202,1483,1470,297,347,56,44,1180,1226,3627,3340,,,,,,,,,,,2010-OR-Klamath,18.1
18,41,37,2010,Lake County,OR,13.6,41,37,OR,Lake,1520,20.4,36167,20,7,13,50,7875,4159,3716,3864,3476,34,5,101,68,26,41,3,5,131,121,269,277,1,0,0,0,1,31,10,21,0,0,2010-OR-Lake,16.4
19,41,39,2010,Lane County,OR,11.1,41,39,OR,Lane,65849,19.1,40545,374,70,304,50,351948,173142,178806,157626,162773,2129,1464,2419,2301,3796,4921,460,393,6712,6954,13487,12887,242,3,25,15,199,1039,474,461,104,13,2010-OR-Lane,27.7
20,41,41,2010,Lincoln County,OR,11.1,41,41,OR,Lincoln,7734,17,38302,87,27,60,50,45997,22366,23631,20320,21505,148,96,869,887,204,331,34,27,791,785,1956,1701,42,1,8,1,32,357,129,211,17,3,2010-OR-Lincoln,23.8
21,41,43,2010,Linn County,OR,12.9,41,43,OR,Linn,20901,18.1,43019,189,79,110,50,116887,57720,59167,54229,55562,395,278,842,886,488,690,93,80,1673,1671,4848,4344,40,2,11,7,20,1017,276,668,73,8,2010-OR-Linn,16.3
22,41,45,2010,Malheur County,OR,9.7,41,45,OR,Malheur,11068,39.5,32412,51,20,31,50,31349,16948,14401,15621,13454,334,96,350,242,298,269,27,28,318,312,5372,4564,,,,,,,,,,,2010-OR-Malheur,13.8
23,41,47,2010,Marion County,OR,11.2,41,47,OR,Marion,55030,17.9,44725,336,85,251,50,315948,157398,158550,141781,143658,2580,1589,4040,3692,2972,3572,1282,1229,4743,4810,40621,36381,,,,,,,,,,,2010-OR-Marion,20.9
