Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
0,53,1,2010,Adams County,WA,9.5,53,1,WA,Adams,3804,20.4,41099,28,17,11,50,18791,9583,9208,8859,8525,118,84,388,392,91,106,5,2,122,99,5784,5396,23,0,5,4,14,321,129,160,32,6,2010-WA-Adams,13.4
1,53,3,2010,Asotin County,WA,8.5,53,3,WA,Asotin,3384,15.8,39340,14,12,2,50,21725,10506,11219,10014,10650,55,42,149,175,47,86,17,24,224,242,325,326,16,1,0,0,15,170,35,131,4,0,2010-WA-Asotin,18.2
2,53,5,2010,Benton County,WA,7.1,53,5,WA,Benton,22384,12.8,59409,67,56,11,50,176467,88183,88284,81020,81049,1399,1153,1062,959,2307,2688,171,157,2224,2278,16920,16091,58,1,5,5,47,561,198,316,47,0,2010-WA-Benton,27.6
3,53,7,2010,Chelan County,WA,8.1,53,7,WA,Chelan,10181,14.2,45561,66,55,11,50,72747,36285,36462,34388,34561,209,155,617,588,294,387,85,66,692,705,9921,8967,37,0,18,4,15,867,174,650,43,1,2010-WA-Chelan,23.2
4,53,9,2010,Clallam County,WA,10,53,9,WA,Clallam,10828,15.5,42111,43,35,8,50,71505,35482,36023,31276,32017,486,165,1998,1881,405,624,55,52,1262,1284,1975,1692,63,0,8,4,51,653,196,429,28,2,2010-WA-Clallam,23.3
5,53,11,2010,Clark County,WA,11.7,53,11,WA,Clark,53717,12.7,55144,213,137,76,50,426733,210624,216109,186196,190777,4808,4116,2193,2127,8314,9770,1428,1429,7685,7890,16511,15862,239,0,60,54,125,4288,926,2894,468,40,2010-WA-Clark,25.7
6,53,13,2010,Columbia County,WA,8.5,53,13,WA,Columbia,591,14.6,41244,14,9,5,50,4094,2019,2075,1921,1977,11,2,29,35,10,14,7,7,41,40,126,127,4,0,0,1,3,193,50,136,7,2,2010-WA-Columbia,20
7,53,15,2010,Cowlitz County,WA,11.7,53,15,WA,Cowlitz,20793,20.6,43031,55,45,10,50,102358,50510,51848,46726,47962,428,304,955,913,667,899,140,137,1594,1633,4228,3767,102,0,45,7,50,583,189,339,55,5,2010-WA-Cowlitz,14.7
8,53,17,2010,Douglas County,WA,8.8,53,17,WA,Douglas,5459,14.2,48113,34,27,7,50,38513,19239,19274,18204,18216,117,85,332,348,145,205,44,38,397,382,5801,5298,,,,,,,,,,,2010-WA-Douglas,17.3
9,53,19,2010,Ferry County,WA,16,53,19,WA,Ferry,1567,21,35721,22,7,15,50,7545,3905,3640,3028,2795,16,10,647,624,23,42,4,4,187,165,148,109,8,0,0,0,8,32,12,16,4,0,2010-WA-Ferry,16.7
10,53,21,2010,Franklin County,WA,8,53,21,WA,Franklin,14532,18.8,49873,26,24,2,50,79076,40907,38169,37504,35173,1109,707,549,468,777,836,166,143,802,842,20951,19532,18,0,4,2,12,186,43,131,12,2,2010-WA-Franklin,14.6
11,53,23,2010,Garfield County,WA,7.4,53,23,WA,Garfield,310,13.9,41482,14,7,7,50,2261,1120,1141,1083,1087,0,0,3,3,15,27,0,0,19,24,50,41,3,0,3,0,0,54,11,43,0,1,2010-WA-Garfield,17.7
12,53,25,2010,Grant County,WA,9.9,53,25,WA,Grant,19175,21.7,42514,62,48,14,50,89554,45627,43927,42458,40969,859,668,852,820,435,469,63,45,960,956,18182,16304,93,2,14,16,61,1661,618,876,167,25,2010-WA-Grant,14.4
13,53,27,2010,Grays Harbor County,WA,12.6,53,27,WA,Grays Harbor,12544,17.9,40281,80,40,40,50,72849,37358,35491,32876,31644,669,191,1992,1703,479,604,126,75,1216,1274,3513,2798,32,1,1,6,24,482,213,237,32,2,2010-WA-Grays Harbor,14.5
